"","productID","tableName","tableDesc","tableType","tableTMI"
"366","DP1.20105.001","fsh_BOLDcollectionData","Fish sequences DNA barcode - collection data","site-date","0"
"367","DP1.20278.001","mga_swGroupAbundances","Laboratory results of gene copy number data in surface water samples","site-date","0"
"368","DP1.20278.001","mga_batchResults","Batch-level results of analysis of gene copy number in surface water samples","lab-all","0"
"369","DP4.00133.001","sdrc_stageDischargeCurveInfo","stage-discharge rating curve summary information","site-date","0"
"370","DP1.10026.001","cfc_chemistrySubsampling","Subsampling for chemical analyses of foliar samples","site-date","0"
"371","DP1.10026.001","cfc_chlorophyllSummary","Long-term uncertainty values for chlorophyll analyses","lab-current","0"
"372","DP1.10026.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"373","DP1.00038.001","asi_externalLabSummaryData","Wet deposition H2O stable isotope external lab summary data","lab-current","0"
"374","DP1.20217.001","TGW_5_minute","Temperature of groundwater taken every 5 minutes","site-date","5"
"375","DP4.00130.001","sdrc_gaugePressureRelationship","Information relating staff gauge readings to pressure measurements","site-date","0"
"376","DP1.20141.001","mcc_taxonTableLabSummary","Summary data on laboratory methods for microbial taxon table results","lab-current","0"
"377","DP1.00013.001","wdp_sensor","Wet deposition collector automated sensor data","site-date","0"
"378","DP1.20099.001","agw_groundwaterFieldData","Field metadata and groundwater measurements per site per date","site-date","0"
"379","DP1.20126.001","inv_fieldData","Aquatic macroinvertebrate field data","site-date","0"
"380","DP1.10086.001","sls_bgcSubsampling","Processing data for soil subsamples for biogeochemical analysis and archiving","site-date","0"
"381","DP1.10086.001","sls_metagenomicsPooling","Sample information for soil subsamples collected for metagenomics analysis","site-date","0"
"382","DP1.10086.001","sls_soilCoreCollection","Field data of soils collected for microbial or biogeochemistry sampling","site-date","0"
"383","DP1.20138.001","amc_fieldSuperParent","Field data for the parent sample of surface water microbes","site-date","0"
"384","DP1.10086.001","sls_soilpH","Soil pH data for microbial and biogeochemical samples","site-date","0"
"385","DP1.20193.001","sbd_conductivityFieldData","Reaeration logger field data for salt-based discharge","site-date","0"
"386","DP1.20092.001","gwc_fieldSuperParent","Field data for the parent sample of groundwater chemistry","site-date","0"
"387","DP1.20093.001","swc_fieldSuperParent","Field data for the parent sample of surface water chemistry","site-date","0"
"388","DP1.10101.001","ltr_litterStableIsotopes","External lab analysis of carbon and nitrogen stable isotopes in litterfall","site-date","0"
"389","DP1.20092.001","gwc_externalLabData","Groundwater chemistry from external lab","site-date","0"
"390","DP1.20093.001","swc_domainLabData","Surface water chemistry ALK and ANC domain lab data summary data","site-date","0"
"391","DP1.20092.001","gwc_domainLabData","Groundwater chemistry ALK and ANC domain lab data summary data","site-date","0"
"392","DP1.20141.001","mcc_swTaxonTableMetadata_ITS","Taxonomic table metadata for surface water microbes from ITS marker gene sequencing analysis","site-date","0"
"393","DP1.10102.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"394","DP1.00101.001","dpm_sensor","Dust particulate mass sensor data","site-date","0"
"395","DP4.00132.001","bat_fieldData","Bathymetry field collection data","site-date","0"
"396","DP1.20093.001","swc_externalLabSummaryData","Surface water chemistry external lab summary data","lab-current","0"
"397","DP1.20093.001","swc_externalLabData","Surface water chemistry from external lab","site-date","0"
"398","DP1.20278.001","mga_labSummary","Summary data on laboratory methods for qPCR results in surface water samples","lab-all","0"
"399","DP4.00132.001","bat_pointcollection","Bathymetry field point collection","site-date","0"
"400","DP4.00132.001","bat_resultsFile","Bathymetry file of results","site-date","0"
"401","DP1.10031.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"402","DP1.20254.001","dep_profileData","Depth profile field data collection per site per sampling day","site-date","0"
"403","DP1.20063.001","apl_biomass","Domain lab aquatic clip harvest biomass","site-date","0"
"404","DP1.20252.001","dep_secchi","Secchi field data collection per site per sampling day","site-date","0"
"405","DP1.20264.001","TSD_1_min","Temperature at specific depths of surface water taken every 1 minute","site-date","1"
"406","DP1.10033.001","ltr_litterCarbonNitrogen","External lab analysis of carbon and nitrogen concentrations in litter","site-date","0"
"407","DP1.20280.001","mmg_benthicPcrAmplification_16S","Laboratory metadata from 16S PCR amplification of DNA from aquatic benthic samples for microbial analyses","site-date","0"
"408","DP1.10020.001","bet_BOLDtaxonomy","Ground beetle sequences DNA barcode - taxonomy","site-date","0"
"409","DP1.20141.001","mcc_swSeqVariantMetadata_16S","Taxon table metadata for surface water microbes from sequence variant data analysis of the 16S marker gene","site-date","0"
"410","DP1.20048.001","dsc_ratingCurveIDByEventID","All rating curve IDs in which a discharge measurement is included in long format","site-date","0"
"411","DP4.00131.001","geo_pebbleFieldData","Data associated with pebble count distributions","site-date","0"
"412","DP1.30012.001","fsp_boutMetadata","Instrument parameters for field spectral measurements","site-date","0"
"413","DP1.30012.001","fsp_sampleMetadata","Foliar sample metaddata","site-date","0"
"414","DP1.20093.001","swc_fieldData","Surface water chemistry summary data per site per bout","site-date","0"
"415","DP1.30012.001","fsp_spectralData","Spectral data reference and metadata","site-date","0"
"416","DP1.20107.001","fsh_invertBycatch","Fish sampling macroinvertebrate bycatch","site-date","0"
"417","DP1.20141.001","mcc_swSeqVariantMetadata_ITS","Taxon table metadata for surface water microbes from sequence variant data analysis of the ITS marker gene","site-date","0"
"418","DP1.20093.001","swc_externalLabDataByAnalyte","Surface water chemistry from external lab in long format","site-date","0"
"419","DP1.20092.001","gwc_externalLabDataByAnalyte","Groundwater chemistry from external lab in long format","site-date","0"
"420","DP1.10026.001","cfc_elementsSummary","Long-term uncertainty values for major, minor, and trace element analyses","lab-current","0"
"421","DP4.00132.001","bat_AISsiteSurveyResultsFile","AIS site survey file of results","site-date","0"
"422","DP1.10033.001","ltr_litterLignin","External lab analysis of lignin concentrations in litter","site-date","0"
"423","DP1.10033.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"424","DP1.10033.001","lig_externalSummary","Long-term uncertainty values for lignin analysis in plant tissue","lab-current","0"
"425","DP1.00096.001","mgp_perhorizon","Per soil horizon metadata","site-date","0"
"426","DP1.00096.001","mgp_perarchivesample","Archived sample information","site-date","0"
"427","DP1.10047.001","spc_biogeochem","Soil initial characterization chemical measurements","site-date","0"
"428","DP1.20126.001","inv_dnaStandardTaxon","Macroinvertebrate DNA standard sample taxonomy","lab-all","0"
"429","DP1.00026.001","ais_multisondeCleanCal","Information related to multisonde cleaning and calibration activities","site-date","0"
"430","DP1.10047.001","spc_externalLabSummary","Long-term uncertainty values for soil initial characterization laboratory analyses","lab-current","0"
"431","DP1.00026.001","ais_sunaCleanAndCal","Record of SUNA cleaning and calibration activities","site-date","0"
"432","DP1.00026.001","ais_siteSurvey","Information about aquatic instrument system site survey","site-date","0"
"433","DP1.00026.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"434","DP1.00026.001","ais_maintenanceGroundwater","Information related to groundwater sensor and infrastructure maintenance","site-date","0"
"435","DP1.00026.001","ais_closedLoops","Aquatic instrument system site survey loop closure information","site-date","0"
"436","DP1.00026.001","ais_maintenanceSensorReplacement","Information related to replacement of sensors and infrastructure","site-date","0"
"437","DP1.00026.001","ais_wellDevelopment","Record of groundwater well development","site-date","0"
"438","DP1.00026.001","ais_missingLineWorkflow","Aquatic instrument system site survey missing line workflow information","site-date","0"
"439","DP1.20086.001","mcc_benthicSeqVariantMetadata_ITS","Taxon table metadata for benthic microbes from sequence variant data analysis of the ITS marker gene","site-date","0"
"440","DP1.10081.001","mcc_soilSeqVariantMetadata_16S","Taxon table metadata for soil microbes from sequence variant data analysis of the 16S marker gene","site-date","0"
"441","DP1.10081.001","mcc_soilSeqVariantMetadata_ITS","Taxon table metadata for soil microbes from sequence variant data analysis of the ITS marker gene","site-date","0"
"442","DP1.00026.001","ais_aquaticLocationTroll","Aquatic location TROLL measurements for impacted well","site-date","0"
"443","DP1.20126.001","inv_dnaRawDataFiles","Raw sequence data files for macroinvertebrate marker gene sequencing","site-date","0"
"444","DP1.20221.001","inv_dnaExtractionStandard","Ingest of laboratory metadata from DNA extraction for macroinvertebrate standard samples","lab-all","0"
"445","DP1.00026.001","ais_siteSurveyStationFeature","Aquatic instrument system site survey feature information","site-date","0"
"446","DP1.00026.001","ais_siteSurveyMappedPointError","Aquatic instrument system site survey mapped points that contain errors","site-date","0"
"447","DP1.20221.001","inv_markerGeneSequencingStandard","Ingest of laboratory metadata for macroinvertebrate standard sample marker gene sequencing","lab-all","0"
"448","DP1.10041.001","mos_pathogenqa","Mosquito pathogen testing quality assurance data from external labs","lab-all","0"
"449","DP1.10076.001","mam_BOLDvoucherInfo","Small mammal sequences DNA barcode - voucher info","site-date","0"
"450","DP1.20126.001","inv_metabarcodeTaxonList","Metabarcode full taxonomic list for every sequenceName","lab-all","0"
"451","DP1.20166.001","alg_biomass","Periphyton, seston, and phytoplankton biomass data","site-date","0"
"452","DP1.20126.001","inv_markerGeneSequencing","Ingest of laboratory metadata for macroinvertebrate marker gene sequencing","site-date","0"
"453","DP1.10086.001","ntr_externalLab","External lab analysis of inorganic nitrogen concentrations in kcl extracts","site-date","0"
"454","DP1.10107.001","mms_rawDataFiles","Soil metagenomics raw sequence data","site-date","0"
"455","DP1.20138.001","amc_cellCountLabSummary","Summary data on laboratory methods for cell count results","lab-current","0"
"456","DP1.00026.001","ais_aquaticLocationWellOffset","Aquatic location well offset measurements","site-date","0"
"457","DP1.20166.001","alg_qualityCheck","Aquatic algae quality data","site-date","0"
"458","DP1.20163.001","alg_algaeExternalLabQA","Algae chemistry external lab data quality assurance","lab-all","0"
"459","DP1.10072.001","mam_perplotnight","Small mammal trapping summary data per plot per night","site-date","0"
"460","DP1.10058.001","div_morphospecies","Diversity morphospecies resolution data","site-all","0"
"461","DP1.00038.001","wdi_collection","Wet deposition field collection data","site-date","0"
"462","DP1.20105.001","fsh_BOLDvoucherInfo","Fish sequences DNA barcode - voucher info","site-date","0"
"463","DP1.20105.001","fsh_BOLDspecimenDetails","Fish sequences DNA barcode - specimen details","site-date","0"
"464","DP4.00130.001","geo_gaugeWaterColumnRegression","Statistics and information on gauge height vs. water column height regressions used in estimating continuous discharge","site-date","0"
"465","DP4.00130.001","bat_gaugeWaterColumnRegression","Statistics and information on gauge height vs. water column height regressions used in estimating continuous discharge","site-date","0"
"466","DP4.00133.001","bat_controlInfo","Activation state of the controls used for a rating curve","site-all","0"
"467","DP1.00006.001","PRIPRE_30min","Primary Precipitation pooled over 30 minutes","site-date","30"
"468","DP1.10066.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"469","DP1.10066.001","mpr_carbonNitrogen","External lab analysis of carbon and nitrogen concentrations in roots","site-date","0"
"470","DP1.20126.001","inv_metabarcodeTaxonomy","Macroinvertebrate metabarcode taxon table from bioinformatics pipeline","site-date","0"
"471","DP1.20217.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"472","DP1.20221.001","zoo_metabarcodeTaxonomy","Zooplankton metabarcode taxon table from bioinformatics pipeline","site-date","0"
"473","DP4.00131.001","geo_rapidHabitatResultsFile","Rapid habitat assessment file of results","site-date","0"
"474","DP4.00131.001","geo_AISsiteSurveyResultsFile","AIS site survey file of results","site-date","0"
"475","DP1.10086.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"476","DP1.20063.001","apl_plantExternalLabQA","Plant chemistry external lab data quality assurance","lab-all","0"
"477","DP1.10086.001","ntr_internalLab","NEON domain lab potassium chloride extraction data for initial and final soil cores","site-date","0"
"478","DP1.10086.001","ntr_internalLabBlanks","NEON domain lab potassium chloride blank reference sample creation","site-date","0"
"479","DP1.10086.001","ntr_externalSummary","Long-term uncertainty values for analysis of inorganic nitrogen concentrations","lab-current","0"
"480","DP4.00131.001","geo_gaugeWaterColumnRegression","Statistics and information on gauge height vs. water column height regressions used in estimating continuous discharge","site-date","0"
"481","DP1.00013.001","wdp_collection","Wet deposition chemistry per sample","site-date","0"
"482","DP1.20221.001","inv_pcrAmplificationStandard","Ingest of laboratory metadata from PCR amplification of DNA for macroinvertebrate standard samples","lab-all","0"
"483","DP1.10111.001","sim_eventData","Record of land management activities, disturbances, and other incidents of ecological note within a NEON site","site-date","0"
"484","DP1.20092.001","gwc_wellStabilization","Field data for recording stabilization of ground water well before sampling","site-date","0"
"485","DP1.10043.001","mos_identificationHistory","Mosquito identification history for records where identifications have changed","site-all","0"
"486","DP4.00001.001","wss_yearly_precip","Yearly weather summary statistics","site-date","365"
"487","DP1.10045.001","vst_perplotperyear","Per plot sampling metadata, including presence/absence of each growthForm","site-date","0"
"488","DP1.10064.002","rpt2_pathogentesting","Rodent pathogen testing results from external labs","site-date","0"
"489","DP4.00133.001","dsc_ratingCurveIDByEventID","All rating curve IDs in which a discharge measurement is included in long format","site-date","0"
"490","DP1.10038.001","mos_BOLDvoucherInfo","Mosquito sequences DNA barcode - voucher info","site-date","0"
"491","DP1.10045.001","nst_perindividual","Field measurements of individual non-herbaceous perennial plants (e.g. cacti, ferns)","site-date","0"
"492","DP1.10064.002","rpt2_pathogenqa","Rodent pathogen testing quality assurance data from external labs","lab-all","0"
"493","DP1.20197.001","asc_fieldDataPoint","Point level sediment collection field data","site-date","0"
"494","DP1.20197.001","asc_fieldDataZone","Zone level sediment collection field data","site-date","0"
"495","DP1.20221.001","zoo_dnaRawDataFiles","Raw sequence data files for zooplankton marker gene sequencing","site-date","0"
"496","DP1.20197.001","asc_fieldDataStation","Station level sediment collection field data","site-date","0"
"497","DP1.00038.001","wdi_collectionIso","Wet deposition isotope parent sample data","site-date","0"
"498","DP1.20197.001","asp_externalLabData","Sediment physical properties external lab data","site-date","0"
"499","DP1.20197.001","asc_externalLabSummary","Sediment chemistry external lab long-term summary data","lab-current","0"
"500","DP1.10022.001","bet_identificationHistory","Beetle identification history for records where identifications have changed","site-all","0"
"501","DP1.00101.001","dpm_filterBlank","Particulate mass laboratory blank filter processing table","lab-all","0"
"502","DP1.20221.001","inv_metabarcodeSummary","Summary data on laboratory methods for metabarcode community results","lab-all","0"
"503","DP4.00133.001","bat_AISsiteSurveyResultsFile","AIS site survey file of results","site-date","0"
"504","DP1.20126.001","inv_metabarcodeSummary","Summary data on laboratory methods for metabarcode community results","lab-all","0"
"505","DP1.20221.001","inv_metabarcodeTaxonList","Metabarcode full taxonomic list for every sequenceName","lab-all","0"
"506","DP4.00133.001","geo_controlInfo","Activation state of the controls used for a rating curve","site-all","0"
"507","DP4.00132.001","bat_controlInfo","Activation state of the controls used for a rating curve","site-date","0"
"508","DP4.00133.001","geo_AISsiteSurveyResultsFile","AIS site survey file of results","site-date","0"
"509","DP1.00038.001","wdi_isoPerSample","Wet deposition H2O stable isotope data per sample","site-date","0"
"510","DP4.00132.001","bat_sonarRecord","Bathymetry sonar record","site-date","0"
"511","DP4.00132.001","bat_gaugeWaterColumnRegression","Statistics and information on gauge height vs. water column height regressions used in estimating continuous discharge","site-date","0"
"512","DP1.20221.001","inv_dnaRawDataFilesStandard","Raw sequence data files for macroinvertebrate standard sample marker gene sequencing","lab-all","0"
"513","DP1.20126.001","inv_pcrAmplificationStandard","Ingest of laboratory metadata from PCR amplification of DNA for macroinvertebrate standard samples","lab-all","0"
"514","DP1.00038.001","wdi_collectionIsoTest","Wet deposition isotope analysis subsample data","site-date","0"
"515","DP4.00133.001","geo_controlType","Control type and geometry used for determining prior parameters","site-date","0"
"516","DP4.00133.001","geo_priorParameters","Prior rating curve parameters used to develop rating curve","site-date","0"
"517","DP4.00131.001","geo_curveIdentification","Active dates of a rating curve and associated control survey date","site-date","0"
"518","DP4.00132.001","bat_controlType","Control type and geometry used for determining prior parameters","site-date","0"
"519","DP4.00132.001","bat_priorParameters","Prior rating curve parameters used to develop rating curve","site-date","0"
"520","DP4.00132.001","bat_curveIdentification","Active dates of a rating curve and associated control survey date","site-date","0"
"521","DP4.00131.001","geo_controlInfo","Activation state of the controls used for a rating curve","site-date","0"
"522","DP4.00131.001","geo_controlType","Control type and geometry used for determining prior parameters","site-date","0"
"523","DP4.00133.001","geo_curveIdentification","Active dates of a rating curve and associated control survey date","site-date","0"
"524","DP4.00133.001","bat_controlType","Control type and geometry used for determining prior parameters","site-date","0"
"525","DP4.00133.001","bat_priorParameters","Prior rating curve parameters used to develop rating curve","site-date","0"
"526","DP4.00133.001","bat_curveIdentification","Active dates of a rating curve and associated control survey date","site-date","0"
"527","DP1.20093.001","swc_asiPOMFieldData","Surface water stable isotopes field data","site-date","0"
"528","DP1.20219.001","zoo_perSample","Zooplankton subsampling data and QC metrics per sample","site-date","0"
"529","DP1.10043.001","mos_subsampling","Generation of mosquito samples for barcoding, archiving and pathogen testing","site-date","0"
"530","DP4.00132.001","bat_dischargeRegressionUSGS","Statistics and information on NEON vs. USGS discharge regressions used in estimating continuous discharge","site-date","0"
"531","DP1.20126.001","inv_dnaRawDataFilesStandard","Raw sequence data files for macroinvertebrate standard sample marker gene sequencing","lab-all","0"
"532","DP1.10098.001","vst_non-woody","Biomass and productivity measurements of non-herbaceous perennial plants (e.g. cacti, ferns)","site-date","0"
"533","DP1.10045.001","vst_perplotperyear","Per plot sampling metadata, including presence/absence of each growthForm","site-date","0"
"534","DP1.10045.001","nst_perindividual","Field measurements of individual non-herbaceous perennial plants (e.g. cacti, ferns)","site-date","0"
"535","DP1.20197.001","asc_fieldDataPoint","Point level sediment collection field data","site-date","0"
"536","DP1.20197.001","asc_fieldDataZone","Zone level sediment collection field data","site-date","0"
"537","DP1.20197.001","asc_fieldDataStation","Station level sediment collection field data","site-date","0"
"538","DP1.20197.001","asp_externalLabData","Sediment physical properties external lab data","site-date","0"
"539","DP1.20197.001","asc_externalLabSummary","Sediment chemistry external lab long-term summary data","lab-current","0"
